Measurement number,HART-14,HART-15,HART-13,HART-12,HART-16,HART-17,HART-18,HART-19,JACK-11,JACK-22,JACK-24,JACK-25,JACK-31,JACK-33,JACK-34,JACK-35,Elson-23-1,Elson-23-2,Elson-23-3,Elson-26-4,Elson-24-4,Elson-26-2,Elson-23-5,Elson-24-2,Elson-24-3,Elson-24-5,Elson-26-1,Elson-26-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.7107631,,0.7098973,0.7156402,0.7104310,0.7074492,0.7103089,0.7078584,0.7093329,0.7079388,0.7086759,0.7085166,0.7009086,0.7086949,0.7101461,0.7086599,0.7104275,0.7092674,0.7084687,0.7091302,0.7094461,0.7097494,0.7084502,0.7087756,0.7094212,0.7076507,0.7089858,0.7098809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.7099336,,0.7103018,0.7155245,0.7107594,0.7096858,0.7090097,0.7088100,0.7078997,0.7073903,0.7082059,0.7093287,0.7064810,0.7086063,0.7007616,0.7091422,0.7058661,0.7097972,0.7097551,0.7085440,0.7095926,0.7094156,0.7102346,0.7090551,0.7084200,0.7092926,0.7095111,0.7089574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.7112046,,0.7097490,0.7181569,0.7111625,0.7091902,0.7075642,0.7067117,0.7088517,0.7072820,0.7087847,0.7088733,0.7049060,0.7093867,0.7082900,0.7092199,0.7084539,0.7094613,0.7140163,0.7091397,0.7094922,0.7093783,0.7074859,0.7096961,0.7102434,0.7096210,0.7088945,0.7082989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.7106493,,0.7108963,0.7134337,0.7101188,0.7067350,0.7097087,0.7085126,0.7087446,0.7054722,0.7089586,0.7087027,0.7040998,0.7087457,0.7094950,0.7088365,0.7097142,0.7107670,0.7064460,0.7092480,0.7103168,0.7090089,0.7097753,0.7089519,0.7084538,0.7083564,0.7095080,0.7090449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.7101303,,0.7106945,0.7134681,0.7103045,0.7074953,0.7088184,0.7073363,0.7088883,0.7099742,0.7088734,0.7087971,0.7122278,0.7086183,0.7090733,0.7092984,0.7094442,0.7093500,0.7062720,0.7086876,0.7086172,0.7096681,0.7094634,0.7094429,0.7099421,0.7026225,0.7091000,0.7095942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.7108350,,0.7104495,0.7160497,0.7096665,0.7087813,0.7089980,0.7068385,0.7086429,0.7073847,0.7091353,0.7091220,0.7096306,0.7088341,0.7107393,0.7095618,0.7093229,0.7088954,0.7104775,0.7099586,0.7097621,0.7099794,0.7092304,0.7092832,0.7086420,0.7092027,0.7085081,0.7082889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.7098721,,0.7099828,0.7173561,0.7102636,0.7117636,0.7100016,0.7083545,0.7088380,0.7084653,0.7096507,0.7091030,0.7098040,0.7091196,0.7081086,0.7085051,0.7092316,0.7091291,0.7077953,0.7096049,0.7088926,0.7093120,0.7094317,0.7099651,0.7096121,0.7090696,0.7087812,0.7088022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.7119476,,0.7102494,0.7151640,0.7097275,0.7088098,0.7092503,0.7069296,0.7088596,0.7076438,0.7077116,0.7098068,0.7109802,0.7089517,0.7087658,0.7101978,0.7101244,0.7098145,0.7045295,0.7098831,0.7084664,0.7096158,0.7094143,0.7088922,0.7079109,0.7095262,0.7094227,0.7093291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.7096071,,0.7097054,0.7140375,0.7094449,0.7099825,0.7086391,0.7104738,0.7088288,0.7061887,0.7084957,0.7090927,0.7082711,0.7084239,0.7099057,0.7083388,0.7087353,0.7087255,0.7084741,0.7088554,0.7095007,0.7089792,0.7094835,0.7091587,0.7079615,0.7091854,0.7085876,0.7095306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.7099067,,0.7098752,0.7159398,0.7101083,0.7098109,0.7092948,0.7081370,0.7099261,0.7089850,0.7086514,0.7092757,0.7114587,0.7093084,0.7110308,0.7096938,0.7091502,0.7092861,0.7109117,0.7097616,0.7090238,0.7096251,0.7101331,0.7091685,0.7093418,0.7093210,0.7088794,0.7085548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
